醫師姓名,科部,科別,職稱,學經歷,專長,認證,看診時段
邱讚旺,內科部,心臟內科,部長,台北醫學大學醫學系；前署立桃園醫院內科加護病房主任、心臟內科主任,冠狀動脈介入治療、心律不整、心臟衰竭、高血壓,中華民國內科專科醫師、心臟內科專科醫師、心臟血管介入專科醫師,週一上午、週二下午、週四上午
陳清淵,內科部,心臟內科,主治醫師,中國醫藥大學醫學系；前署立新竹醫院內科/心臟內科主任、敏盛總院心臟血管中心主任,心血管疾病、急重症、心導管介入,內科專科、心血管內科、重症醫學、心血管介入專科,週二上午、週三晚診、週五下午
林重道,外科部,骨科,主治醫師,國防醫學院醫學系；前國軍桃園總醫院骨科主任,關節鏡微創手術、關節重建、運動傷害,中華民國關節鏡醫學會專科醫師、關節重建醫學會專科醫師,週一上午、週三上午、週五下午
莊活力,外科部,神經外科,主任,台北醫學大學醫學系；美國哈佛醫學院神經外科研究員、長庚醫學中心神經外科脊椎組資深主治醫師、新竹馬偕神經外科主任,脊椎微創手術、腦部腫瘤、頭部外傷、兒童神經外科,神經外科專科醫師、脊椎內視鏡學會專科醫師,週二上午、週四下午、週五上午
李振培,外科部,神經外科,主治醫師,台灣大學醫學系；美國梅意醫學中心腦科研究員、德州西南大學腦科研究員、前林口長庚神經外科主治醫師、省立桃園醫院神經外科主任,腦血管疾病、腦腫瘤、脊椎退化,神經外科專科醫師,週一下午、週三上午、週四晚診
範例-王○○,內科部,胃腸肝膽科,主治醫師（範例）,○○大學醫學系；前○○醫院胃腸科主治醫師（待人資補實際資料）,消化道內視鏡、肝膽胰疾病、幽門桿菌,內科專科、消化系內科專科、消化系內視鏡專科,週一全天、週三上午
範例-陳○○,婦兒部,婦產科,主治醫師（範例）,國防醫學院醫學系；前三軍總醫院婦產部、義大醫院婦產部、壢新醫院婦產科主任；教育部部定講師,婦科腫瘤、子宮鏡、不孕症、產前檢查,婦產科專科、不孕症專科,週二上午、週四下午、週六上午
範例-林○○,婦兒部,小兒科,主治醫師（範例）,○○大學醫學系（待人資補實際資料）,兒童氣喘、過敏免疫、新生兒照護,小兒科專科、新生兒科專科,週一晚診、週三上午、週五全天
範例-許○○,家醫科,家庭醫學科,主治醫師（範例）,○○大學醫學系（待人資補實際資料）,慢性病管理、健康檢查諮詢、戒菸門診,家庭醫學科專科、職業醫學科專科,週二全天、週四上午
範例-黃○○,外科部,一般外科,主治醫師（範例）,○○大學醫學系（待人資補實際資料）,疝氣修補、膽結石腹腔鏡手術、乳房腫瘤,外科專科醫師、消化外科專科,週二上午、週三下午、週五早診
