設備類別,子類別,規格,容量單位,單價區間NTD,主要供應商,標準交期(週),備註
太陽能模組,單晶,540W TopCon,片,"3,800-4,500",天合 Trina、隆基 Longi,8,2026 主流規格
太陽能模組,雙面,555W 雙玻,片,"4,200-5,000",晶澳 JA、Risen,10,高效率產品
變流器 PCS,三相併網型,100kW,台,"320,000-380,000",華為、Sungrow,6,工商業用
變流器 PCS,三相併網型,250kW,台,"780,000-920,000",華為、SMA,8,大型案場用
儲能電池櫃,LFP 1MWh,"1,000kWh 標準櫃",櫃,"9,500,000-11,500,000",BYD、寧德時代、台達,16,含 BMS、空調、消防
儲能 PCS,工商業 250kW,250kW PCS,台,"850,000-1,000,000",Sungrow、台達,10,可整合 EMS
變壓器,油浸式,1000kVA,台,"850,000-1,100,000",東元自製、TATUNG,12,GIS 用
變壓器,乾式,1000kVA,台,"950,000-1,250,000",東元自製、ABB,14,戶內用
低壓配電盤,MCC,標準型 IP31,面,"180,000-240,000",東元自製,8,依機構數量
中壓開關設備,GIS,12kV / 1250A,面,"1,200,000-1,500,000",東元自製、Schneider,16,戶外型
EMS 能源管理系統,工商業整合,標準版,套,"1,800,000-2,400,000",東元自製,8,含 SCADA + APP
風力發電機,雙饋型,2.5MW,台,"85,000,000-95,000,000",東元自製,60,陸域風場用
電動車驅動馬達,永磁同步,150kW,台,"320,000-400,000",東元自製,12,巴士/卡車用
