料號,品名,規格,認證,最小起訂量,產能/月,報價區間,交期
PROD-A-001,高效率變壓器 12V/5A,12V/5A 尺寸50×40×25mm,UL/CE/AEC-Q200,100 pcs,50000 pcs,NT$280-320/pcs,2 週
PROD-A-002,高效率變壓器 24V/3A,24V/3A 尺寸55×42×28mm,UL/CE,100 pcs,40000 pcs,NT$310-350/pcs,2 週
PROD-A-003,小型變壓器 12V/2A,12V/2A 尺寸40×30×20mm,UL/CE/AEC-Q200,200 pcs,80000 pcs,NT$180-220/pcs,1 週
PROD-A-005,高功率變壓器 48V/10A,48V/10A 尺寸80×60×40mm,UL/CE/IEC 62368,50 pcs,15000 pcs,NT$680-780/pcs,6 週
PROD-B-001,LED 模組 高亮度白光,5000K 1000lm,UL/RoHS,500 pcs,200000 pcs,NT$120-150/pcs,2 週
PROD-B-002,LED 模組 暖白光,3000K 800lm,UL/RoHS,500 pcs,180000 pcs,NT$110-140/pcs,2 週
PROD-B-003,LED 模組 RGB,RGB 全彩 1500lm,UL/RoHS/CE,200 pcs,80000 pcs,NT$280-320/pcs,3 週
PROD-B-005,LED 車用模組,12V 高亮度 含散熱,UL/CE/AEC-Q102,200 pcs,40000 pcs,NT$220-260/pcs,8 週
PROD-C-001,工業電腦主機板 ATX,ATX 標準 含 PCIe,UL/CE/FCC,10 pcs,5000 pcs,NT$3800-4500/pcs,3 週
PROD-C-002,嵌入式電腦主機板 Mini-ITX,Mini-ITX 低功耗,UL/CE/FCC,10 pcs,4000 pcs,NT$3200-3800/pcs,3 週
PROD-D-001,Wi-Fi 6 路由模組,Wi-Fi 6 雙頻,FCC/CE/NCC,100 pcs,30000 pcs,NT$680-780/pcs,3 週
PROD-D-002,LoRa 通訊模組,LoRa 低功耗 長距離,FCC/CE/NCC,100 pcs,20000 pcs,NT$420-480/pcs,2 週
PROD-E-001,溫度感測器,-40~125°C 高精度,UL/CE/AEC-Q100,1000 pcs,500000 pcs,NT$80-120/pcs,1 週
PROD-E-002,壓力感測器,0-100 PSI,UL/CE,500 pcs,200000 pcs,NT$180-220/pcs,2 週
PROD-F-001,工業電源供應器 12V/100W,12V/100W 寬溫,UL/CE/FCC,100 pcs,30000 pcs,NT$580-680/pcs,2 週
