項目編號,巡檢區域,巡檢項目,判定基準,嚴重度,ISO45001條款,改善時限
INS-01,全廠,消防通道是否淨空,通道淨寬≥1.2m無堆放,高,8.2,當日
INS-02,加工區,作業員PPE佩戴(防割手套/護目鏡),100%佩戴,高,8.1.2,立即
INS-03,調配區,化學品標示與SDS,標示完整、SDS就近可取,中,8.1.2,3日
INS-04,成型機,安全連鎖與防護罩,功能正常未旁路,高,8.1.2,立即
INS-05,倉儲,物料堆疊高度與固定,未超高、已固定,中,8.1.2,當日
INS-06,電氣室,配電箱前淨空與上鎖,前方淨空、門上鎖,高,8.1.2,當日
INS-07,全廠,滅火器壓力與效期,壓力綠區、未逾期,中,8.2,3日
INS-08,熱壓區,隔熱防護與警示標示,隔熱手套就位、標示清楚,中,8.1.2,3日
INS-09,全廠,緊急出口指示燈,明亮可視,中,8.2,3日
INS-10,研磨區,局部排氣與粉塵,排氣運作、粉塵未逸散,中,8.1.2,7日
INS-11,全廠,地面防滑與清潔,無油膩無積水,中,8.1.2,當日
INS-12,承攬商,作業許可與證照,許可在效期、證照齊備,高,8.1.4,立即
INS-13,急救站,急救箱物品效期,物品齊全未過期,低,8.2,7日
INS-14,屋外,高架作業安全帶,100%掛勾,高,8.1.2,立即
INS-15,全廠,噪音與聽力防護,高噪區佩戴耳塞,中,8.1.2,7日
INS-16,廢棄物區,危廢分類與標示,分類正確、標示完整,中,8.1.2,3日
